;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;nutrition;;;;;;;vitamins & minerals;;;;;;;;;;;;;;;;;;;;;
;;NDB_No;Descrip;Energy_kcal;Protein_g;Saturated_fats_g;Fat_g;Carb_g;Fiber_g;Sugar_g;Calcium_mg;Iron_mg;Magnesium_mg;Phosphorus_mg;Potassium_mg;Sodium_mg;Zinc_mg;Copper_mcg;Manganese_mg;Selenium_mcg;VitC_mg;Thiamin_mg;Riboflavin_mg;Niacin_mg;VitB6_mg;Folate_mcg;VitB12_mcg;VitA_mcg;VitE_mg;VitD2_mcg;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;36612;denny's golden fried shrimp;319;14;4;20;21;2;1;47;2;26;498;128;1400;1;0;0;19;0;0;0;2;0;0;0;2;2.61;0;;
;;6408;campbell's chunky soups healthy request veg soup;49;2;0;0;10;2;3;24;0;0;0;0;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;6389;campbell's chunky soups bf w white  wild rice soup;57;3;0;1;10;1;2;8;0;0;0;0;363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;;36061;restaurant mexican soft taco w ground bf chs  lettuce;219;13;4;11;18;2;2;116;2;27;172;244;509;2;0;0;19;0;0;0;3;0;0;1;49;0.82;0;;
;;36004;applebee's mozzarella stks;316;15;7;18;23;2;3;319;0;20;307;106;838;2;0;0;18;0;0;0;1;0;0;1;113;0.71;0;;
;;6007;soup bean w ham cnd chunky rts;95;5;1;4;11;5;0;32;1;19;59;175;400;0;0;0;7;2;0;0;1;0;12;0;81;0;0;;
;;8493;cereals rte malt-o-meal appl zings;390;5;1;3;87;2;45;303;27;24;61;96;454;11;0;0;0;18;1;1;15;2;19;5;0;0.03;3;;
;;8544;cereals rte post great grains cranberry almond crunch;384;9;1;6;77;11;26;40;4;89;255;308;214;3;0;0;37;25;1;1;10;1;19;3;467;5.63;2;;
;;16080;mung bns mature seeds raw;347;24;0;1;63;16;7;132;7;189;367;1246;15;3;1;1;8;5;1;0;2;0;625;0;6;0.51;0;;
;;7914;sausage  italian  swt  links;149;16;3;8;2;0;0;25;1;12;103;194;570;2;0;0;11;0;0;0;2;0;4;1;0;0;0;;
